municipioCaso,Freq_Original,freq_25,freq_5,freq_75
,,213950,427901,641852
FORTALEZA,205733,154380,102907,51270
JUAZEIRO DO NORTE,37825,28416,18693,9567
CRATO,28019,21065,14029,7037
SOBRAL,25333,18872,12642,6288
MARACANAU,20517,15338,10211,5208
IGUATU,19821,14772,9826,4980
CRATEUS,18075,13604,9005,4558
CAUCAIA,14903,11170,7513,3822
BREJO SANTO,14423,10854,7291,3701
CAMOCIM,10832,8036,5437,2729
QUIXADA,9792,7382,4956,2432
ICO,9739,7235,4912,2403
TAUA,9495,7093,4731,2363
BARBALHA,8976,6781,4513,2244
RUSSAS,8721,6595,4229,2139
EUSEBIO,8255,6133,4166,2059
HORIZONTE,8189,6102,4064,2048
TIANGUA,8083,6076,4051,2019
IPU,8010,6015,4122,1959
QUIXERAMOBIM,7640,5785,3801,1900
LIMOEIRO DO NORTE,7348,5539,3686,1816
SAO GONCALO DO AMARANTE,6834,5168,3473,1759
PACAJUS,6672,4978,3337,1731
ITAPIPOCA,6959,5248,3573,1716
REDENCAO,6993,5318,3514,1715
MARANGUAPE,7021,5253,3573,1702
ACARAU,6827,5100,3399,1700
CASCAVEL,6496,4900,3249,1612
MORADA NOVA,6483,4874,3285,1596
CANINDE,6422,4808,3253,1577
CEDRO,6321,4688,3182,1565
PACATUBA,5974,4465,2987,1513
HIDROLANDIA,5758,4344,2869,1454
LAVRAS DA MANGABEIRA,5516,4120,2711,1416
SANTA QUITERIA,5875,4453,2983,1414
ITAREMA,5091,3818,2560,1354
GRANJA,5182,3878,2541,1294
MOMBACA,4886,3617,2467,1262
TABULEIRO DO NORTE,5005,3779,2548,1212
ARACATI,4584,3415,2309,1155
IPUEIRAS,4585,3408,2303,1114
MAURITI,4394,3310,2222,1090
OROS,4232,3180,2102,1073
VICOSA DO CEARA,4149,3071,2130,1041
AQUIRAZ,4017,3007,2021,1017
CAMPOS SALES,3904,2906,1921,1011
BOA VIAGEM,3727,2722,1826,945
PIQUET CARNEIRO,3720,2812,1910,934
TAMBORIL,3654,2741,1807,925
CRUZ,3680,2790,1870,914
JAGUARUANA,3441,2576,1711,862
BEBERIBE,3247,2405,1588,843
QUIXELO,3391,2548,1684,833
VARZEA ALEGRE,3220,2395,1565,817
ASSARE,3161,2433,1586,811
BELA CRUZ,3269,2478,1697,808
PORTEIRAS,3194,2407,1594,800
SAO BENEDITO,3143,2368,1575,798
ACOPIARA,3074,2305,1497,776
JAGUARIBE,3018,2249,1519,769
QUIXERE,2962,2221,1490,761
ACARAPE,2894,2199,1432,748
COREAU,3033,2313,1512,748
NOVA RUSSAS,2994,2259,1446,737
JAGUARETAMA,2780,2069,1391,732
INDEPENDENCIA,2857,2144,1440,707
VARJOTA,2737,2039,1337,699
MILAGRES,2805,2084,1416,695
GUARACIABA DO NORTE,2640,1952,1334,683
UBAJARA,2708,2081,1356,666
FARIAS BRITO,2623,1929,1320,655
IRACEMA,2622,1970,1306,646
PEREIRO,2496,1889,1267,643
JIJOCA DE JERICOACOARA,2633,2016,1302,632
CARIUS,2500,1873,1249,631
MISSAO VELHA,2485,1875,1248,631
MASSAPE,2465,1881,1215,620
ARACOIABA,2668,1956,1322,620
ITAPAJE,2441,1829,1249,615
PARACURU,2428,1745,1224,614
BATURITÉ,2378,1782,1206,607
BARRO,2424,1834,1217,602
AMONTADA,2435,1841,1215,599
AURORA,2379,1788,1232,589
RERIUTABA,2233,1682,1107,582
IPAPORANGA,2282,1737,1124,564
MONSENHOR TABOSA,2173,1607,1051,563
ITATIRA,2409,1791,1232,559
CARIRE,2122,1593,1083,557
ITAITINGA,2219,1670,1068,530
FRECHEIRINHA,2258,1718,1145,518
GROAIRAS,1924,1425,1009,507
SANTANA DO ACARAU,2124,1585,1043,502
NOVO ORIENTE,1996,1501,1001,500
JAGUARIBARA,2070,1589,998,497
IBIAPINA,1968,1496,958,496
PARAIPABA,2113,1592,1039,495
MADALENA,1800,1374,874,464
CHOROZINHO,1934,1455,967,461
SENADOR POMPEU,1743,1306,873,459
URUOCA,1919,1403,913,452
ARARIPE,1924,1449,966,441
CATUNDA,1803,1350,889,439
PINDORETAMA,1795,1345,875,436
BARROQUINHA,1732,1303,871,421
CARIRIACU,1630,1239,796,419
ICAPUI,1654,1250,839,419
MERUOCA,1530,1135,736,386
URUBURETAMA,1479,1082,719,385
IBICUITINGA,1598,1211,771,363
BANABUIU,1428,1076,720,360
TRAIRI,1380,1044,691,350
GUARAMIRANGA,1360,1033,666,350
ALCANTARAS,1324,1000,695,340
DEPUTADO IRAPUAN PINHEIRO,1416,1079,704,338
PARAMBU,1236,932,589,325
OCARA,1290,964,616,321
GUAIÚBA,1305,989,667,320
PIRES FERREIRA,1352,998,679,319
SALITRE,1276,956,622,314
TURURU,1234,920,635,313
GRACA,1267,944,612,310
CROATA,1256,921,629,308
CAPISTRANO,1298,986,640,308
IPAUMIRIM,1219,905,638,303
PORANGA,1223,916,640,290
PENTECOSTE,1170,886,586,288
SANTANA DO CARIRI,1143,858,591,284
MUCAMBO,1236,927,607,282
MORAUJO,1038,763,515,280
SOLONOPOLE,1057,774,515,280
CARNAUBAL,1115,844,582,280
JUCAS,1120,839,544,280
FORTIM,1091,837,541,278
ALTO SANTO,1163,865,591,277
NOVA OLINDA,1069,789,545,276
TEJUCUOCA,1158,873,560,274
ALTANEIRA,1050,820,512,271
PALMACIA,1000,743,509,266
QUITERIANOPOLIS,1028,756,493,261
MILHA,1029,783,480,259
ITAPIUNA,965,698,497,258
CARIDADE,937,729,444,253
MIRAIMA,947,725,450,251
PACOTI,929,693,467,239
MARCO,863,651,426,237
CHAVAL,932,685,481,237
SABOEIRO,1047,779,530,237
ERERE,932,677,478,233
GRANJEIRO,873,663,445,230
BAIXIO,857,645,427,215
ARARENDA,920,678,462,214
JARDIM,916,681,457,212
FORQUILHA,848,631,426,211
MORRINHOS,739,549,363,207
CATARINA,877,667,445,205
ITAICABA,797,606,402,204
MARTINOPOLE,892,633,437,192
APUIARES,763,554,387,187
BARREIRA,798,616,409,184
ARATUBA,729,535,370,183
POTENGI,778,585,396,173
UMARI,710,550,353,170
UMIRIM,578,419,299,154
ABAIARA,616,448,288,152
CHORÓ,600,449,299,152
SAO LUÍS DO CURU,584,437,285,148
PARAMOTI,588,455,267,142
PEDRA BRANCA,507,381,252,119
POTIRETAMA,460,344,238,115
PACUJA,438,335,223,111
IBARETAMA,359,269,168,106
IRAUCUBA,412,318,200,105
AIUABA,402,304,197,95
SAO JOAO DO JAGUARIBE,456,332,224,95
GENERAL SAMPAIO,348,255,184,93
PENAFORTE,316,242,166,90
PALHANO,393,304,180,86
JATI,371,283,196,84
SENADOR SA,360,263,179,81
MULUNGU,302,227,160,63
ANTONINA DO NORTE,246,179,120,63
TARRAFAS,274,207,137,57
ARNEIROZ,146,117,75,38
